epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,0.7570221066094054,,,,,,,0.9064727510724749,0.561,0.6390648461508539,0.5786294911665454,0.5582568943763518,,,"[[ 35, 212,   0,   7],
 [ 25, 225,  49,   7],
 [  6,  19, 115,   0],
 [  0, 114,   0, 186]]"
2,0.6147568993294201,,,,,,,0.8210803321193135,0.656,0.7021971983536922,0.6949794143379137,0.6804946318347871,,,"[[164,  82,   2,   6],
 [ 48, 190,  57,  11],
 [  0,   7, 133,   0],
 [ 13, 118,   0, 169]]"
3,0.5325157376238332,,,,,,,0.9732301093283153,0.679,0.689364086384344,0.7269037877618238,0.6573031869735743,,,"[[235,  15,   1,   3],
 [136,  65,  86,  19],
 [  6,   1, 133,   0],
 [ 37,  16,   1, 246]]"
4,0.5007131379633285,,,,,,,0.5964653640985489,0.767,0.8051407935694943,0.7799854429960961,0.7716064089140171,,,"[[145,  98,   3,   8],
 [  0, 240,  50,  16],
 [  0,  11, 129,   0],
 [  1,  45,   1, 253]]"
5,0.4708874935444932,,,,,,,1.0642253321314614,0.671,0.7603009016865538,0.7213632119514473,0.6609355525546549,,,"[[254,   0,   0,   0],
 [183,  55,  33,  35],
 [  1,   8, 131,   0],
 [ 69,   0,   0, 231]]"
6,0.4102602071417406,,,,,,,0.5198414393124127,0.801,0.820146206881549,0.8220644478263747,0.8077676625069643,,,"[[172,  82,   0,   0],
 [  5, 231,  55,  15],
 [  0,   1, 139,   0],
 [  1,  40,   0, 259]]"
7,0.4107990358679439,,,,,,,0.4632802164507291,0.824,0.8307649722568453,0.8375725093186881,0.8208877972332769,,,"[[173,  75,   2,   4],
 [  2, 231,  58,  15],
 [  0,   5, 135,   0],
 [  0,  12,   3, 285]]"
8,0.36299966275691986,,,,,,,0.830021482374933,0.735,0.7831682737562073,0.7655780711234625,0.7438301541404267,,,"[[154,  98,   1,   1],
 [  1, 214,  88,   3],
 [  0,   0, 140,   0],
 [  0,  63,  10, 227]]"
9,0.32992291224364656,,,,,,,0.481411406563388,0.837,0.8487648808775695,0.8496394200724909,0.8362001534626391,,,"[[163,  79,   0,  12],
 [  2, 238,  38,  28],
 [  0,   2, 138,   0],
 [  0,   2,   0, 298]]"
10,0.2939591648193975,,,,,,,0.4022777571328103,0.861,0.8559464052337064,0.8770916319283619,0.8596158292085828,,,"[[199,  50,   0,   5],
 [  8, 231,  47,  20],
 [  0,   0, 140,   0],
 [  2,   7,   0, 291]]"
11,0.29191111049617824,,,,,,,0.4331150497235949,0.856,0.8465691519824033,0.8755972415212805,0.849451012124508,,,"[[214,  34,   0,   6],
 [ 10, 206,  68,  22],
 [  0,   0, 140,   0],
 [  0,   4,   0, 296]]"
12,0.2801265042429915,,,,,,,0.5464194780067791,0.821,0.8257831234879817,0.8413255512178626,0.8199520933104814,,,"[[188,  62,   0,   4],
 [  3, 220,  75,   8],
 [  0,   1, 139,   0],
 [  0,  25,   1, 274]]"
13,0.25687859390680784,,,,,,,0.30210102006556494,0.899,0.8882860162045352,0.9128859811641192,0.8955842818610935,,,"[[227,  23,   0,   4],
 [ 13, 237,  41,  15],
 [  0,   0, 140,   0],
 [  0,   5,   0, 295]]"
14,0.2505279782766732,,,,,,,0.4436703498164813,0.861,0.8518735185652092,0.8823931751178162,0.8529569205761012,,,"[[236,  12,   0,   6],
 [ 38, 190,  57,  21],
 [  0,   1, 139,   0],
 [  2,   2,   0, 296]]"
15,0.23492587238740617,,,,,,,0.49155242634671076,0.848,0.8623147930906256,0.8610367454068242,0.849763474805612,,,"[[167,  83,   0,   4],
 [  3, 255,  36,  12],
 [  0,   0, 140,   0],
 [  0,  14,   0, 286]]"
16,0.22994065836976513,,,,,,,0.3050970532118328,0.895,0.8900818891737383,0.9060913893116302,0.8941383150048106,,,"[[212,  37,   0,   5],
 [  5, 252,  34,  15],
 [  0,   1, 139,   0],
 [  1,   7,   0, 292]]"
17,0.2103415983505904,,,,,,,0.3462457056083376,0.89,0.8902880141853342,0.9010699397869384,0.890235096556259,,,"[[201,  50,   0,   3],
 [  3, 261,  34,   8],
 [  0,   0, 140,   0],
 [  0,  12,   0, 288]]"
18,0.20770817390455606,,,,,,,0.25551233547074453,0.904,0.8998356237332544,0.9150820853275694,0.9043010397572018,,,"[[216,  34,   0,   4],
 [  6, 256,  29,  15],
 [  0,   0, 140,   0],
 [  0,   8,   0, 292]]"
19,0.19450987894504596,,,,,,,0.26134579226611154,0.905,0.8972475439759565,0.9169026298183316,0.9033733923568207,,,"[[222,  28,   0,   4],
 [  6, 251,  35,  14],
 [  0,   0, 140,   0],
 [  1,   7,   0, 292]]"
20,0.19578717115778513,,,,,,,0.29091803540313055,0.898,0.8904548334595423,0.9100618856466471,0.8950674046793613,,,"[[215,  34,   0,   5],
 [  4, 248,  41,  13],
 [  0,   0, 140,   0],
 [  0,   5,   0, 295]]"
0,0,,,,,,,0,0.903,0.8990680770565331,0.9142487519942359,0.9035228112288187,0,0,
