epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,1.5324903619967825,,,,,,,2.5013974684256093,0.5395348837209303,0.7150084245985638,0.5647724426603538,0.5009982854285855,"tensor(0.0832, device='cuda:0')","tensor(0.0434, device='cuda:0')","[[250,   1,   3],
 [201,  50,  55],
 [136,   0, 164]]"
2,1.1756952671500724,,,,,,,1.3499874925171886,0.7383720930232558,0.7728634884329387,0.7483039129912683,0.7175498760920173,"tensor(0.4776, device='cuda:0')","tensor(0.3137, device='cuda:0')","[[225,  15,  14],
 [ 63, 116, 127],
 [  4,   2, 294]]"
3,0.904428960346594,,,,,,,1.5295497907532587,0.6209302325581395,0.7166566823263163,0.6297466248091538,0.5797829140205178,"tensor(0.5343, device='cuda:0')","tensor(0.3645, device='cuda:0')","[[209,  45,   0],
 [ 45, 259,   2],
 [132, 102,  66]]"
4,0.7841190106985045,,,,,,,1.9108675354056888,0.6186046511627907,0.7604284245951437,0.5954231211294667,0.5538315720256674,"tensor(0.5532, device='cuda:0')","tensor(0.3824, device='cuda:0')","[[ 42,  53, 159],
 [  1, 190, 115],
 [  0,   0, 300]]"
5,0.702264978149073,,,,,,,0.7097591694306444,0.8965116279069767,0.9007420286132497,0.8938464309608357,0.8959980464957275,"tensor(0.4801, device='cuda:0')","tensor(0.3159, device='cuda:0')","[[214,  35,   5],
 [  8, 270,  28],
 [  5,   8, 287]]"
6,0.6308831767580374,,,,,,,1.426379823298366,0.6511627906976745,0.8065438169946416,0.6317225052750759,0.6156519361278833,"tensor(0.6564, device='cuda:0')","tensor(0.4886, device='cuda:0')","[[ 68,  17, 169],
 [  1, 192, 113],
 [  0,   0, 300]]"
7,0.5863239192138843,,,,,,,0.7183412931583546,0.8674418604651163,0.8883857760947375,0.8577800078911704,0.8616655053751315,"tensor(0.6653, device='cuda:0')","tensor(0.4985, device='cuda:0')","[[174,  66,  14],
 [  2, 281,  23],
 [  0,   9, 291]]"
8,0.5601914444468855,,,,,,,0.5518815818208235,0.9232558139534883,0.9237574702020552,0.9262166984028957,0.9226679987150413,"tensor(0.6865, device='cuda:0')","tensor(0.5227, device='cuda:0')","[[247,   7,   0],
 [ 28, 262,  16],
 [ 13,   2, 285]]"
9,0.5044267992905485,,,,,,,0.7596481614918621,0.8372093023255814,0.8690366588819619,0.8411709810783455,0.8383910769049155,"tensor(0.6373, device='cuda:0')","tensor(0.4677, device='cuda:0')","[[236,  18,   0],
 [ 13, 290,   3],
 [ 14,  92, 194]]"
10,0.47017644115579804,,,,,,,0.48251427875624764,0.9267441860465117,0.926832340686646,0.9279069528073697,0.9268980214006107,"tensor(0.7163, device='cuda:0')","tensor(0.5580, device='cuda:0')","[[241,  13,   0],
 [ 15, 282,   9],
 [ 11,  15, 274]]"
11,0.447830348298317,,,,,,,0.7809705022308562,0.8255813953488372,0.873403575989783,0.8234436381726793,0.8283834037692662,"tensor(0.7133, device='cuda:0')","tensor(0.5543, device='cuda:0')","[[195,  10,  49],
 [  5, 215,  86],
 [  0,   0, 300]]"
12,0.41507673336238393,,,,,,,0.4163448353884397,0.9511627906976744,0.952988559896999,0.9494126224418027,0.9508423818511464,"tensor(0.7676, device='cuda:0')","tensor(0.6228, device='cuda:0')","[[233,  20,   1],
 [  5, 292,   9],
 [  2,   5, 293]]"
13,0.37673814891557383,,,,,,,0.5889184490122177,0.891860465116279,0.8974305555555556,0.8959168339251712,0.8908388856209527,"tensor(0.7754, device='cuda:0')","tensor(0.6332, device='cuda:0')","[[248,   6,   0],
 [ 15, 285,   6],
 [ 37,  29, 234]]"
14,0.3635326090866957,,,,,,,0.4396467132976762,0.9302325581395349,0.9356035132473554,0.9312735662944093,0.930878120977151,"tensor(0.7919, device='cuda:0')","tensor(0.6555, device='cuda:0')","[[239,   7,   8],
 [ 10, 262,  34],
 [  1,   0, 299]]"
15,0.32243367445057003,,,,,,,0.3654789734217856,0.9453488372093023,0.9443975600417641,0.9461794726639562,0.9449590170471311,"tensor(0.7990, device='cuda:0')","tensor(0.6653, device='cuda:0')","[[244,   9,   1],
 [ 12, 287,   7],
 [ 12,   6, 282]]"
16,0.3196304314504794,,,,,,,0.35628516420170114,0.9546511627906977,0.9561003925466611,0.954595405966411,0.9547221600383612,"tensor(0.8159, device='cuda:0')","tensor(0.6891, device='cuda:0')","[[241,   8,   5],
 [  8, 281,  17],
 [  0,   1, 299]]"
17,0.29722499308305056,,,,,,,0.3284692551802706,0.9697674418604652,0.9709583020199951,0.9691590757037724,0.9699193326453388,"tensor(0.8098, device='cuda:0')","tensor(0.6803, device='cuda:0')","[[243,   9,   2],
 [  3, 294,   9],
 [  0,   3, 297]]"
18,0.2866198922681615,,,,,,,0.30913230762989435,0.9732558139534884,0.973235829851066,0.9735203197639511,0.9733229404383552,"tensor(0.8164, device='cuda:0')","tensor(0.6898, device='cuda:0')","[[248,   5,   1],
 [  5, 293,   8],
 [  2,   2, 296]]"
19,0.2762625541204844,,,,,,,0.31035235344811724,0.9732558139534884,0.9740011399197755,0.9731396565625375,0.9734010455480475,"tensor(0.8224, device='cuda:0')","tensor(0.6984, device='cuda:0')","[[246,   6,   2],
 [  4, 292,  10],
 [  0,   1, 299]]"
0,0,,,,,,,0,0.9686046511627907,0.9693792447882297,0.9680915375774107,0.9685621011130429,0,0.7187015206934562,
